ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,n_pix,ra,dec,re_arcsec,r_fwhm_arcsec,r_10_arcsec,r_90_arcsec,A_arcsec,B_arcsec,axis_ratio,mag,mu,lsb,ID_known,example_id,associated_lsb_ra,associated_lsb_dec
10324,1492.31,1924.2325,7.664771,3.326518,1.5380392,4117.464,68.50102,2.1671038,5.3404202,2.6462836,4.7873073,1.5957692,10.60016,771,138.61621740527093,79.13918228085416,3.5573225775617088,1.9663839831028347,1.1857742668279485,7.87670106194489,5.695490433659906,2.4718483365514095,0.43400096362957225,20.96342547321258,24.807643133135983,1.0,091427+790820,053.338.10324,,
9902,1492.2104,1847.3522,4.2688775,3.8377738,0.115349144,5750.5254,472.2152,1.6955528,7.152395,1.1283792,2.3262134,0.5641896,8.991702,804,138.6167097844324,79.12331381324906,1.7285482066393743,0.838469008290113,0.4192345041450565,6.681498080415011,3.1720909814156246,2.851749121330647,0.8990123984583769,20.600731184842594,23.668427548991115,0,,053.338.10324,138.61621740527093,79.13918228085416
12185,1797.6287,2260.2751,1.4278722,0.6227465,-1.4896647,32.298973,4.126541,1.1490312,1.6999459,1.4927053,1.1283792,0.0,1.9544101,19,138.2779614219149,79.2080720468623,0.838469008290113,1.1091901840803122,0.0,1.4522709195093109,1.0610144067694813,0.4627466017373759,0.43613602113690564,26.227028216426408,26.93839286481707,1.0,091306+791228,053.338.12185,,
12221,1793.8354,2263.9175,4.2171597,2.5345452,-0.877738,919.44794,77.317245,2.1083272,4.6203413,1.2615663,2.0342145,0.5641896,5.6700354,199,138.28210145398864,79.20883190597203,1.5115714774469151,0.9374368514177035,0.4192345041450565,4.2132546920466405,3.133660839778002,1.8833541067670039,0.6010076402845262,22.591182139721088,24.930400246004506,0,,053.338.12185,138.2779614219149,79.2080720468623
6159,701.79584,813.2276,5.905326,3.4977832,1.009584,239.24109,9.595763,0.7618402,0.9345355,0.5641896,3.949327,1.1283792,6.5795245,256,177.8689040283955,37.409889893281466,2.9346413804006377,0.4192345041450565,0.838469008290113,4.8890722042160135,4.3880929698543,2.5991110177481276,0.5923099249728128,24.05291056894456,27.816932960897613,1.0,MATLAS-1108,282.255.6159,,
5739,582.4022,745.61096,3.5543563,1.8168511,-1.3498291,1991.1792,111.91568,0.67742145,6.1456146,1.4927053,2.2567585,0.5641896,4.6180906,324,177.89989707758846,37.395892053185506,1.676938090887605,1.1091901840803122,0.4192345041450565,3.4315820830230592,2.6411490055565676,1.350054432080812,0.5111617819519108,21.752224132617286,24.14107990119782,0,,282.255.6159,177.8689040283955,37.409889893281466
15580,2205.676,2281.3674,12.8511915,7.406388,-0.18393523,27841.102,361.9391,2.0306416,8.283577,2.3262134,6.69938,1.7841241,20.153496,3361,169.91426163853723,37.712749027440594,4.978133684809696,1.7285482066393743,1.3257358561674042,14.975534647128164,9.54938356923925,5.503492798672462,0.5763191685377967,18.88828394644615,23.770149065369004,1.0,111939+374245,270.255.15580,,
15519,2227.6853,2299.0544,3.4409213,2.734663,-1.5186753,6565.863,350.45993,5.5121,18.921795,1.2615663,2.8768137,0.5641896,6.8868117,347,169.90850661842248,37.71638746198821,2.1376848581349344,0.9374368514177035,0.4192345041450565,5.11740926842656,2.5568584302292408,2.032056398786565,0.7947473253747477,20.456770458206748,23.851936232565606,0,,270.255.15580,169.91426163853723,37.712749027440594
6571,1316.9589,976.33276,12.04336,7.564031,-0.19564387,1672.4146,5.0578494,0.7736541,1.0050569,6.840435,9.901487,3.5682483,16.669868,1664,210.93769948460147,53.94363920450132,7.357535468118737,5.082947958206762,2.651471786642187,12.386941987487088,8.949105155147148,5.620633180092004,0.6280665030356977,21.94164012440212,27.76519070691186,1.0,140344+535636,248.288.6571,,
5553,1381.2787,802.4049,3.7921133,2.4636314,1.2946604,4402.8457,155.21695,3.3710098,11.586436,1.2615663,3.3851376,0.97720504,6.746726,380,210.91518299784758,53.907732382470684,2.5154070248703393,0.9374368514177035,0.7261354523239175,5.013315256453788,2.8178200005589855,1.8306599206635348,0.649672413532581,20.890666335870137,24.42031843010092,0,,248.288.6571,210.93769948460147,53.94363920450132
